date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2000-01-01,MUNICIPIO,35017,ES704,ES704A0,ES704A02,21274,32,11164,10110,90.56,20811,463,2.18,4266,15572,1436,867,445,124,20.05,73.2,6.75,36.62,9.22,27.4,33.66,297.08,8.64,30.99,29077.1,73.16,1.59,765,783,1794,1237,669,5248,15353,5022,899,72.17,23.61,4.23
2000-01-01,MUNICIPIO,35018,ES708,ES708A0,ES708A01,13129,32.4,6828,6301,92.28,12345,784,5.97,2475,9929,725,426,216,83,18.85,75.63,5.52,32.23,7.3,24.93,29.29,341.38,11.45,29.79,4076.11,322.1,19.23,390,517,1056,694,324,2981,8187,3833,1109,62.36,29.19,8.45
2000-01-01,MUNICIPIO,35019,ES705,ES705A3,ES705A31,39939,34.6,20667,19272,93.25,33091,6848,17.15,6906,30203,2830,1832,759,239,17.29,75.62,7.09,32.24,9.37,22.87,40.98,244.03,8.45,26.82,33241.9,120.15,20.6,820,1301,3140,2210,1225,8696,27151,5173,7615,67.98,12.95,19.07
2000-01-01,MUNICIPIO,35020,ES705,ES705A2,ES705A23,8070,37.3,4083,3987,97.65,8014,56,0.69,1343,5570,1157,755,282,120,16.64,69.02,14.34,44.88,20.77,24.11,86.15,116.08,10.37,24.37,12370.8,65.23,0.45,174,267,612,392,209,1654,7840,147,83,97.15,1.82,1.03
2000-01-01,MUNICIPIO,35021,ES705,ES705A1,ES705A10,18153,35.9,9068,9085,100.19,17523,630,3.47,3109,13165,1879,1177,493,209,17.13,72.52,10.35,37.89,14.27,23.62,60.44,165.46,11.12,26.24,2383.19,761.71,26.44,530,589,1313,935,523,3890,15997,1231,925,88.12,6.78,5.1
2000-01-01,MUNICIPIO,35022,ES705,ES705A3,ES705A32,44974,31.9,22869,22105,96.66,42743,2231,4.96,9527,32352,3095,2026,807,262,21.18,71.93,6.88,39.01,9.57,29.45,32.49,307.82,8.47,26.07,6252.83,719.26,35.68,1751,1852,3994,2546,1307,11450,39582,2788,2604,88.01,6.2,5.79
2000-01-01,MUNICIPIO,35023,ES705,ES705A2,ES705A22,14032,37.8,7000,7032,100.46,13969,63,0.45,2268,9705,2059,1249,584,226,16.16,69.16,14.67,44.59,21.22,23.37,90.78,110.15,10.98,28.36,4261.82,329.25,1.48,322,430,1032,674,378,2836,13554,325,153,96.59,2.32,1.09
2000-01-01,MUNICIPIO,35024,ES708,ES708A0,ES708A02,12184,34.6,6265,5919,94.48,11000,1184,9.72,2209,8907,1068,641,303,124,18.13,73.1,8.77,36.79,11.99,24.8,48.35,206.84,11.61,28.37,22400.6,54.39,5.29,380,458,922,596,304,2660,8891,1939,1354,72.97,15.91,11.11
2000-01-01,MUNICIPIO,35025,ES705,ES705A2,ES705A23,2565,42.5,1307,1258,96.25,2563,2,0.08,270,1837,458,234,145,79,10.53,71.62,17.86,39.63,24.93,14.7,169.63,58.95,17.25,31.66,10386.3,24.7,0.02,19,54,131,97,60,361,2486,64,15,96.92,2.5,0.58
2000-01-01,MUNICIPIO,35026,ES705,ES705A1,ES705A10,88110,33.9,44268,43842,99.04,86929,1181,1.34,16436,64047,7627,4889,2083,655,18.65,72.69,8.66,37.57,11.91,25.66,46.4,215.5,8.59,27.31,10033.1,878.19,11.77,2771,2886,7011,5085,2983,20736,81686,4449,1975,92.71,5.05,2.24
2000-01-01,MUNICIPIO,35027,ES705,ES705A2,ES705A21,11898,37.9,5997,5901,98.4,11805,93,0.78,1871,8352,1675,1083,420,172,15.73,70.2,14.08,42.46,20.06,22.4,89.52,111.7,10.27,25.07,2580.73,461.03,3.6,324,393,795,485,287,2284,11398,233,267,95.8,1.96,2.24
2000-01-01,MUNICIPIO,35028,ES708,ES708A0,ES708A01,13537,33.8,7023,6514,92.75,10523,3014,22.26,2450,10245,842,524,231,87,18.1,75.68,6.22,32.13,8.22,23.91,34.37,290.97,10.33,27.43,6432.05,210.46,46.86,510,527,925,626,279,2867,6876,3418,3243,50.79,25.25,23.96
2000-01-01,MUNICIPIO,35029,ES708,ES708A0,ES708A03,4373,34.6,2279,2094,91.88,4053,320,7.32,791,3162,420,253,120,47,18.09,72.31,9.6,38.3,13.28,25.02,53.1,188.33,11.19,28.57,13577.9,32.21,2.36,155,168,308,213,108,952,3644,360,369,83.33,8.23,8.44
2000-01-01,MUNICIPIO,35030,ES704,ES704A0,ES704A03,9851,32.3,5247,4604,87.75,9480,371,3.77,1965,7137,749,472,205,72,19.95,72.45,7.6,38.03,10.49,27.53,38.12,262.35,9.61,27.37,27629.8,35.65,1.34,400,390,823,497,313,2423,7312,2062,477,74.23,20.93,4.84
2000-01-01,MUNICIPIO,35031,ES705,ES705A2,ES705A21,8049,34.8,4143,3906,94.28,7946,103,1.28,1520,5714,815,511,227,77,18.88,70.99,10.13,40.86,14.26,26.6,53.62,186.5,9.45,27.85,3880.13,207.44,2.65,259,283,647,451,201,1841,7648,235,166,95.02,2.92,2.06
2000-01-01,MUNICIPIO,35032,ES705,ES705A2,ES705A21,4006,40.4,2058,1948,94.66,3991,15,0.37,546,2795,665,413,183,69,13.63,69.77,16.6,43.33,23.79,19.53,121.79,82.11,10.38,27.52,2212.89,181.03,0.68,86,86,243,172,103,690,3868,68,70,96.56,1.7,1.75
2000-01-01,MUNICIPIO,35033,ES705,ES705A2,ES705A21,7424,37.3,3847,3577,92.98,7403,21,0.28,1343,5076,1005,578,314,113,18.09,68.37,13.54,46.26,19.8,26.46,74.83,133.63,11.24,31.24,3821.39,194.27,0.55,151,381,579,315,154,1580,7212,139,73,97.14,1.87,0.98
2000-01-01,MUNICIPIO,35034,ES708,ES708A0,ES708A03,5175,33.9,2896,2279,78.69,4612,563,10.88,706,4136,333,218,82,33,13.64,79.92,6.43,25.12,8.05,17.07,47.17,212.01,9.91,24.62,21209.4,24.4,2.65,98,145,311,206,116,876,2601,1917,657,50.26,37.04,12.7
2000-01-01,MUNICIPIO,38001,ES709,ES709A3,ES709A32,14007,35.5,7023,6984,99.44,11608,2399,17.13,2167,10669,1171,725,323,123,15.47,76.17,8.36,31.29,10.98,20.31,54.04,185.06,10.5,27.58,10595.2,132.2,22.64,71,433,1142,696,397,2739,8750,2221,3036,62.47,15.86,21.67
2000-01-01,MUNICIPIO,38002,ES706,ES706A0,ES706A01,1143,44.8,563,580,103.02,1107,36,3.15,144,707,292,168,92,32,12.6,61.85,25.55,61.67,41.3,20.37,202.78,49.32,10.96,31.51,2500.41,45.71,1.44,20,25,65,43,20,173,1058,18,67,92.56,1.57,5.86
2000-01-01,MUNICIPIO,38003,ES706,ES706A0,ES706A02,1343,39.7,716,627,87.57,1272,71,5.29,177,940,226,121,74,31,13.18,69.99,16.83,42.87,24.04,18.83,127.68,78.32,13.72,32.74,4960.68,27.07,1.43,33,40,64,50,31,218,1173,70,100,87.34,5.21,7.45
2000-01-01,MUNICIPIO,38004,ES709,ES709A3,ES709A33,4802,41,2325,2477,106.54,4752,50,1.04,610,3334,858,499,259,100,12.7,69.43,17.87,44.03,25.73,18.3,140.66,71.1,11.66,30.19,3436.18,139.75,1.46,45,111,304,214,128,802,4429,153,220,92.23,3.19,4.58
2000-01-01,MUNICIPIO,38005,ES709,ES709A3,ES709A31,5644,39.5,2898,2746,94.76,5200,444,7.87,883,3838,923,535,290,98,15.64,68,16.35,47.06,24.05,23.01,104.53,95.67,10.62,31.42,17893.4,31.54,2.48,155,191,351,246,136,1079,4953,152,539,87.76,2.69,9.55
2000-01-01,MUNICIPIO,38006,ES709,ES709A3,ES709A32,38416,33.9,19419,18997,97.83,32459,5957,15.51,6423,29433,2560,1659,673,228,16.72,76.62,6.66,30.52,8.7,21.82,39.86,250.9,8.91,26.29,8159.85,470.79,73,572,1245,3112,2006,1052,7987,22771,8335,7310,59.27,21.7,19.03
2000-01-01,MUNICIPIO,38007,ES707,ES707A0,ES707A02,2398,44.4,1198,1200,100.17,2330,68,2.84,252,1582,564,291,199,74,10.51,65.97,23.52,51.58,35.65,15.93,223.81,44.68,13.12,35.28,4349.52,55.13,1.56,21,29,120,105,57,332,2166,22,210,90.33,0.92,8.76
2000-01-01,MUNICIPIO,38008,ES707,ES707A0,ES707A01,5898,38.7,2908,2990,102.82,5451,447,7.58,883,4134,881,527,249,105,14.97,70.09,14.94,42.67,21.31,21.36,99.77,100.23,11.92,28.26,3089.34,190.91,14.47,102,165,403,284,164,1118,4971,247,680,84.28,4.19,11.53
2000-01-01,MUNICIPIO,38009,ES707,ES707A0,ES707A01,4051,38.8,2043,2008,98.29,3813,238,5.88,591,2882,578,293,156,129,14.59,71.14,14.27,40.56,20.06,20.51,97.8,102.25,22.32,26.99,1415.88,286.11,16.81,66,145,243,184,125,763,3170,410,471,78.25,10.12,11.63
2000-01-01,MUNICIPIO,38010,ES709,ES709A2,ES709A22,5140,40.8,2617,2523,96.41,4974,166,3.23,614,3664,862,498,267,97,11.95,71.28,16.77,40.28,23.53,16.76,140.39,71.23,11.25,30.97,6636.41,77.45,2.5,12,92,328,247,121,800,4622,73,445,89.92,1.42,8.66
2000-01-01,MUNICIPIO,38011,ES709,ES709A3,ES709A33,13294,37.5,6608,6686,101.18,12879,415,3.12,2102,9562,1630,1054,429,147,15.81,71.93,12.26,39.03,17.05,21.98,77.55,128.96,9.02,26.32,4948.05,268.67,8.39,198,431,973,665,360,2627,10832,1605,857,81.48,12.07,6.45
2000-01-01,MUNICIPIO,38012,ES709,ES709A3,ES709A31,2554,44.6,1304,1250,95.86,2539,15,0.59,255,1675,624,347,217,60,9.98,65.58,24.43,52.48,37.25,15.22,244.71,40.87,9.62,34.78,4524.91,56.44,0.33,45,49,107,80,60,341,2409,63,82,94.32,2.47,3.21
2000-01-01,MUNICIPIO,38013,ES703,ES703A0,ES703A00,4892,42.3,2476,2416,97.58,4354,538,11,661,3250,981,518,334,129,13.51,66.43,20.05,50.52,30.18,20.34,148.41,67.38,13.15,34.05,16428.9,29.78,3.27,84,131,297,200,125,837,3670,230,992,75.02,4.7,20.28
2000-01-01,MUNICIPIO,38014,ES707,ES707A0,ES707A04,1800,41.8,918,882,96.08,1756,44,2.44,249,1160,391,195,152,44,13.83,64.44,21.72,55.17,33.71,21.47,157.03,63.68,11.25,38.87,5590.02,32.2,0.79,48,54,100,67,39,308,1653,40,107,91.83,2.22,5.94
2000-01-01,MUNICIPIO,38015,ES709,ES709A2,ES709A22,5492,40.9,2709,2783,102.73,5246,246,4.48,657,3903,932,551,259,122,11.96,71.07,16.97,40.71,23.88,16.83,141.86,70.49,13.09,27.79,2743.2,200.2,8.97,62,89,317,249,143,860,4768,164,560,86.82,2.99,10.2
2000-01-01,MUNICIPIO,38016,ES707,ES707A0,ES707A03,2007,44.9,1023,984,96.19,1785,222,11.06,255,1240,512,265,161,86,12.71,61.78,25.51,61.85,41.29,20.56,200.78,49.8,16.8,31.45,10258.4,19.56,2.16,34,43,112,85,49,323,1659,77,271,82.66,3.84,13.5
2000-01-01,MUNICIPIO,38017,ES709,ES709A3,ES709A31,20323,35.5,10263,10060,98.02,18993,1330,6.54,2976,15443,1904,1205,487,212,14.64,75.99,9.37,31.6,12.33,19.27,63.98,156.3,11.13,25.58,16250.4,125.06,8.18,99,520,1545,1100,556,3820,15948,2749,1626,78.47,13.53,8
2000-01-01,MUNICIPIO,38018,ES709,ES709A2,ES709A23,5269,39,2613,2656,101.65,5176,93,1.77,736,3746,787,475,236,76,13.97,71.1,14.94,40.66,21.01,19.65,106.93,93.52,9.66,29.99,2380.47,221.34,3.91,63,120,362,258,141,944,4966,48,255,94.25,0.91,4.84
2000-01-01,MUNICIPIO,38019,ES709,ES709A3,ES709A32,14674,35.4,7286,7388,101.4,14035,639,4.35,2580,10551,1543,939,440,164,17.58,71.9,10.52,39.08,14.62,24.45,59.81,167.21,10.63,28.52,14410.2,101.83,4.43,303,491,1166,830,440,3230,12709,858,1107,86.61,5.85,7.54
